"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","NDRS main","NDRS detailed","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","1","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","1","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","2","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","3","Age-specific","0.4","0.1","1.3",NA
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","2","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","1","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","1","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","2","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","1","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - uncertain or unknown","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - uncertain or unknown","0","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - uncertain or unknown","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - uncertain or unknown","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - uncertain or unknown","0","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - uncertain or unknown","0","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - uncertain or unknown","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - uncertain or unknown","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - uncertain or unknown","2","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - uncertain or unknown","1","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute lymphoblastic leukaemia (ALL)","14","Age-specific","2","1.1","3.4",NA
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute lymphoblastic leukaemia (ALL)","9","Age-specific","1.3","0.6","2.5",NA
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute lymphoblastic leukaemia (ALL)","18","Age-specific","2.6","1.5","4.1",NA
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute lymphoblastic leukaemia (ALL)","15","Age-specific","2.2","1.2","3.6",NA
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute lymphoblastic leukaemia (ALL)","15","Age-specific","2.2","1.2","3.5",NA
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute lymphoblastic leukaemia (ALL)","14","Age-specific","2","1.1","3.4",NA
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute lymphoblastic leukaemia (ALL)","17","Age-specific","2.4","1.4","3.9",NA
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute lymphoblastic leukaemia (ALL)","18","Age-specific","2.6","1.5","4.1",NA
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute lymphoblastic leukaemia (ALL)","11","Age-specific","1.6","0.8","2.8",NA
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute lymphoblastic leukaemia (ALL)","9","Age-specific","1.3","0.6","2.5",NA
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute myeloid leukaemia (AML)","5","Age-specific","0.7","0.2","1.7",NA
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute myeloid leukaemia (AML)","2","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute myeloid leukaemia (AML)","4","Age-specific","0.6","0.2","1.5",NA
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute myeloid leukaemia (AML)","7","Age-specific","1","0.4","2.1",NA
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute myeloid leukaemia (AML)","3","Age-specific","0.4","0.1","1.3",NA
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute myeloid leukaemia (AML)","2","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute myeloid leukaemia (AML)","2","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute myeloid leukaemia (AML)","3","Age-specific","0.4","0.1","1.3",NA
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute myeloid leukaemia (AML)","7","Age-specific","1","0.4","2.1",NA
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Acute myeloid leukaemia (AML)","8","Age-specific","1.1","0.5","2.3",NA
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","All Blood cancer","38","Age-specific","5.6","3.9","7.6",NA
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","All Blood cancer","37","Age-specific","5.4","3.8","7.4",NA
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","All Blood cancer","54","Age-specific","7.8","5.9","10.2",NA
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","All Blood cancer","50","Age-specific","7.2","5.3","9.5",NA
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","All Blood cancer","50","Age-specific","7.2","5.3","9.5",NA
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","All Blood cancer","51","Age-specific","7.3","5.4","9.6",NA
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","All Blood cancer","51","Age-specific","7.3","5.4","9.6",NA
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","All Blood cancer","57","Age-specific","8.2","6.2","10.6",NA
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","All Blood cancer","54","Age-specific","7.8","5.9","10.2",NA
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","All Blood cancer","37","Age-specific","5.3","3.7","7.3",NA
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL)","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL)","1","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL)","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL)","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL)","0","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL)","1","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL)","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL)","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL)","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL)","0","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myeloid leukaemia (CML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myeloid leukaemia (CML)","1","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myeloid leukaemia (CML)","1","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myeloid leukaemia (CML)","2","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myeloid leukaemia (CML)","1","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myeloid leukaemia (CML)","2","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myeloid leukaemia (CML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myeloid leukaemia (CML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myeloid leukaemia (CML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myeloid leukaemia (CML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myelomonocytic leukaemia (CMML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myelomonocytic leukaemia (CMML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myelomonocytic leukaemia (CMML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myelomonocytic leukaemia (CMML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myelomonocytic leukaemia (CMML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myelomonocytic leukaemia (CMML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myelomonocytic leukaemia (CMML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myelomonocytic leukaemia (CMML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myelomonocytic leukaemia (CMML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Chronic myelomonocytic leukaemia (CMML)","0","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Diffuse large B-cell lymphoma (DLBCL) and other high grade mature B-cell neoplasms","2","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Diffuse large B-cell lymphoma (DLBCL) and other high grade mature B-cell neoplasms","2","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Diffuse large B-cell lymphoma (DLBCL) and other high grade mature B-cell neoplasms","2","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Diffuse large B-cell lymphoma (DLBCL) and other high grade mature B-cell neoplasms","2","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Diffuse large B-cell lymphoma (DLBCL) and other high grade mature B-cell neoplasms","7","Age-specific","1","0.4","2.1",NA
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Diffuse large B-cell lymphoma (DLBCL) and other high grade mature B-cell neoplasms","3","Age-specific","0.4","0.1","1.3",NA
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Diffuse large B-cell lymphoma (DLBCL) and other high grade mature B-cell neoplasms","2","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Diffuse large B-cell lymphoma (DLBCL) and other high grade mature B-cell neoplasms","3","Age-specific","0.4","0.1","1.3",NA
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Diffuse large B-cell lymphoma (DLBCL) and other high grade mature B-cell neoplasms","4","Age-specific","0.6","0.2","1.5",NA
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Diffuse large B-cell lymphoma (DLBCL) and other high grade mature B-cell neoplasms","5","Age-specific","0.7","0.2","1.7",NA
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Essential thrombocythaemia (ET)","2","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Essential thrombocythaemia (ET)","0","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Essential thrombocythaemia (ET)","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Essential thrombocythaemia (ET)","1","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Essential thrombocythaemia (ET)","0","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Essential thrombocythaemia (ET)","2","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Essential thrombocythaemia (ET)","1","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Essential thrombocythaemia (ET)","1","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Essential thrombocythaemia (ET)","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Essential thrombocythaemia (ET)","0","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Follicular lymphoma","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Follicular lymphoma","0","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Follicular lymphoma","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Follicular lymphoma","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Follicular lymphoma","0","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Follicular lymphoma","1","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Follicular lymphoma","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Follicular lymphoma","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Follicular lymphoma","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Follicular lymphoma","0","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Hodgkin lymphoma","10","Age-specific","1.5","0.7","2.7",NA
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Hodgkin lymphoma","12","Age-specific","1.7","0.9","3.1",NA
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Hodgkin lymphoma","22","Age-specific","3.2","2","4.8",NA
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Hodgkin lymphoma","17","Age-specific","2.5","1.4","3.9",NA
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Hodgkin lymphoma","18","Age-specific","2.6","1.5","4.1",NA
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Hodgkin lymphoma","16","Age-specific","2.3","1.3","3.7",NA
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Hodgkin lymphoma","20","Age-specific","2.9","1.8","4.4",NA
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Hodgkin lymphoma","24","Age-specific","3.5","2.2","5.1",NA
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Hodgkin lymphoma","26","Age-specific","3.8","2.5","5.5",NA
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Hodgkin lymphoma","12","Age-specific","1.7","0.9","3",NA
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Lymphoplasmacytic lymphoma (LPL) or Waldenstrom","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Lymphoplasmacytic lymphoma (LPL) or Waldenstrom","0","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Lymphoplasmacytic lymphoma (LPL) or Waldenstrom","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Lymphoplasmacytic lymphoma (LPL) or Waldenstrom","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Lymphoplasmacytic lymphoma (LPL) or Waldenstrom","0","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Lymphoplasmacytic lymphoma (LPL) or Waldenstrom","1","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Lymphoplasmacytic lymphoma (LPL) or Waldenstrom","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Lymphoplasmacytic lymphoma (LPL) or Waldenstrom","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Lymphoplasmacytic lymphoma (LPL) or Waldenstrom","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Lymphoplasmacytic lymphoma (LPL) or Waldenstrom","0","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Mantle cell lymphoma (MCL)","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Mantle cell lymphoma (MCL)","0","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Blood cancer","Mantle cell lymphoma (MCL)","0","Age-specific","[u]","[u]","[u]","[note2]"
